Location,Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,A,B,C,R_squared
World,WLD,CO2 Emissions Per Capita,13.108818290494256,13.071031640147524,13.259467312927699,13.582641730666472,14.115055218420258,14.424250369664387,14.756433401785944,15.04639427442923,14.92716979511312,14.584349374189532,15.172758568605204,15.340790232157755,15.36211256253801,15.467163860442504,15.454925687068117,15.27867919000596,15.110401269062107,15.220449498490789,15.440100801782211,15.279819176398,14.172062340151854,14.877242426058068,0.2822059531245049,-24.073959066792,-546.2845681080191,0.9234958369186677
World,WLD,Renewable vs Non-Renewable Energy Generation,0.22382491302237947,0.21670596645396922,0.21573478991395875,0.20888501544484667,0.21527554394524873,0.2177374930535638,0.2199602020199972,0.21621980145993797,0.22702006937626262,0.2386728730520429,0.24120849829182486,0.24622750711745436,0.24235775380324454,0.2728506021173889,0.2854815682450587,0.2932194703751053,0.3082449129195388,0.3200087211511098,0.33094459895067735,0.3485220746682923,0.38211799792405193,0.38319255736023317,0.2822059531245049,-24.073959066792,-546.2845681080191,0.9234958369186677
Aruba,ABW,CO2 Emissions Per Capita,9.230468367358394,9.352603510822464,9.891079242980574,11.346634416025719,11.59322695103699,12.608619370680437,13.475788245507605,14.613032483701321,14.348260939222008,15.440633139136397,15.045682672088178,9.030917147144775,11.976207331165776,13.698897152021772,13.994737542714827,13.931786594665107,14.368469658828689,13.48257852407553,14.514484390630603,16.70673652317694,14.163619674438241,13.685647990838865,0.3881418866288003,-14.408908728071312,-765.9263269016282,0.5021119559712292
Aruba,ABW,Renewable vs Non-Renewable Energy Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018330248545742996,0.12739555367970715,0.13765682140241522,0.17370835376231195,0.1947428180081462,0.21359219444506972,0.2330457271354396,0.18662176836315264,0.1723329425556858,0.1716061360056612,0.17676078229959316,0.17367631239956974,0.17367631239956974,0.3881418866288003,-14.408908728071312,-765.9263269016282,0.5021119559712292
Afghanistan,AFG,CO2 Emissions Per Capita,0.04603214852267686,0.15733988166369303,0.1442879396803544,0.14751865995028512,0.12457184481439766,0.17379006300839644,0.1920877381957056,0.25748440092635294,0.5064594370746592,0.7981993932366725,0.9772621798508336,1.3487223313136854,1.1097425631954385,0.8879125482793002,0.796868590371562,0.8248006711244957,0.724613356710797,0.7475746508934693,0.7139201893793689,0.630487989607699,0.45592218618231506,0.4574028082222149,0.030445548153021654,-0.013873887809113954,-60.57557554484855,0.3545918257518479
Afghanistan,AFG,Renewable vs Non-Renewable Energy Generation,14.47341972187105,14.47341972187105,14.47373577749684,4.162759647959601,1.6928763887350977,1.7037020632635735,2.435902262577049,2.2290065021684633,2.005913750741337,3.913971962616823,4.4803067484662575,2.9063487332339792,3.950112359550562,4.265678119349006,5.8783164254898965,7.050264892985962,7.170903059642119,6.613074356122188,4.771005027730265,7.223943183747383,6.766364079913718,3.5944487547521144,0.030445548153021654,-0.013873887809113954,-60.57557554484855,0.3545918257518479
Angola,AGO,CO2 Emissions Per Capita,2.9954507507657344,4.386571751690087,4.255825839644228,4.425474279507637,4.3837729913897014,3.9103165772957516,3.9924281971735427,3.9944828944808535,4.21837497193604,4.343096575550188,4.3398902090528715,4.313959359722621,4.249440542614004,4.517033032773701,4.6111935560591135,4.628768778529906,4.2471161509347395,3.681443221585568,3.483717628129831,3.4922937255985333,2.9225565216145295,2.9128652885913286,-0.024738569503269164,-0.32219738170134515,54.36001738056496,0.35182233322762124
Angola,AGO,Renewable vs Non-Renewable Energy Generation,1.2493491410393331,1.2141345151693899,1.3583049830469367,1.3202164342608527,2.340000395246643,2.975544771981195,3.012852322120653,3.053839445039258,2.756258555116383,1.802289052795968,1.7714730215226793,1.9630272705818947,1.2368629415805166,0.6247879920673821,0.8202457657937885,0.7984607101423856,1.0225440074738235,1.8103484379651469,2.3064825100211093,2.5548120474602767,2.802879583872191,2.8028985837934863,-0.024738569503269164,-0.32219738170134515,54.36001738056496,0.35182233322762124
Albania,ALB,CO2 Emissions Per Capita,3.6217825719878776,3.4357006754193304,4.055147747794993,4.282704547877099,4.616440395726507,4.444335426983414,4.288872594816388,4.4509758691616925,4.497033856928715,4.6102225136711334,4.8601262033469705,5.353651316348816,4.801300389153086,5.107501153331225,5.508503516315094,5.24761519288868,5.131005778308898,5.951269217183345,5.876965482546604,5.5522114469564245,4.657909609707917,4.686171742660756,0.07919785192527176,9.76166114855118e-06,-154.45869041882438,0.6135985922936436
Albania,ALB,Renewable vs Non-Renewable Energy Generation,24.967391304347824,20.315062857142856,15.541026548672566,45.6567476635514,39.0448,76.76102857142857,58.400774193548386,38.726,0,5201.408,7567.544,70.04689830508474,0,0,0,0,0,0,0,0,0,0,0.07919785192527176,9.76166114855118e-06,-154.45869041882438,0.6135985922936436
United Arab Emirates,ARE,CO2 Emissions Per Capita,82.87534940203027,90.13939412853576,88.15795724938111,88.43374709757036,89.1625820878217,88.47136896790069,80.2820107588273,72.02765035663785,71.69875668970629,63.54428920630019,62.304881064933255,63.398844585406394,65.91554353385456,68.94947789078122,69.1409488288244,70.93557751736337,72.70238070112026,69.69740734676063,63.40765899777127,66.3015097401043,66.05911032562892,70.04187709982068,-1.528592663708553,289.6673429403557,3145.276402930764,0.653252632589342
United Arab Emirates,ARE,Renewable vs Non-Renewable Energy Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.486138390749816e-05,0.0001961527447012144,0.0002259808597369623,0.00022345797659574295,0.0007842169134102567,0.0026425054598944336,0.0024077132311230167,0.0024875876232374346,0.005607933995804852,0.008930065529352911,0.027176141729973808,0.039316588570854,0.043699442288732654,-1.528592663708553,289.6673429403557,3145.276402930764,0.653252632589342
